time,open,high,low,close,tick_volume,spread,real_volume
2003-11-07 00:00:00,0.7073,0.7078,0.7052,0.7074,1010,50,0
2003-11-07 04:00:00,0.7074,0.7081,0.7057,0.7075,1089,50,0
2003-11-07 08:00:00,0.7076,0.7097,0.7064,0.7085,1280,50,0
2003-11-07 12:00:00,0.7085,0.709,0.7045,0.7068,1757,50,0
2003-11-07 16:00:00,0.7069,0.7102,0.7038,0.7101,1903,50,0
2003-11-07 20:00:00,0.7096,0.7103,0.7077,0.7095,1287,50,0
2003-11-10 00:00:00,0.7102,0.7118,0.7092,0.7112,735,50,0
2003-11-10 04:00:00,0.7116,0.7125,0.7092,0.7119,1017,50,0
2003-11-10 08:00:00,0.7119,0.7145,0.7103,0.7139,1344,50,0
2003-11-10 12:00:00,0.7141,0.7156,0.7123,0.7146,1508,50,0
2003-11-10 16:00:00,0.7152,0.7181,0.7142,0.717,1490,50,0
2003-11-10 20:00:00,0.717,0.7174,0.7146,0.7154,1063,50,0
2003-11-11 00:00:00,0.7153,0.7162,0.7142,0.715,1217,50,0
2003-11-11 04:00:00,0.7154,0.7157,0.7135,0.7149,1105,50,0
2003-11-11 08:00:00,0.7148,0.7158,0.7131,0.7148,1582,50,0
2003-11-11 12:00:00,0.7146,0.7154,0.7126,0.7139,1600,50,0
2003-11-11 16:00:00,0.7139,0.7167,0.7125,0.7156,1479,50,0
2003-11-11 20:00:00,0.7158,0.7162,0.7142,0.7158,837,50,0
2003-11-12 00:00:00,0.7156,0.7163,0.7136,0.7153,948,50,0
2003-11-12 04:00:00,0.7149,0.7166,0.7134,0.7148,1245,50,0
2003-11-12 08:00:00,0.7147,0.7157,0.7124,0.7151,1277,50,0
2003-11-12 12:00:00,0.715,0.7167,0.7143,0.7152,1485,50,0
2003-11-12 16:00:00,0.7153,0.7195,0.715,0.7172,1715,50,0
2003-11-12 20:00:00,0.7173,0.7192,0.716,0.7164,1067,50,0
2003-11-13 00:00:00,0.7166,0.7188,0.7162,0.7182,1015,50,0
2003-11-13 04:00:00,0.7181,0.7195,0.7173,0.7192,1186,50,0
2003-11-13 08:00:00,0.7191,0.7228,0.7182,0.7212,1570,50,0
2003-11-13 12:00:00,0.7214,0.7224,0.7189,0.7215,1800,50,0
